approval_data
审批数据
,,,
代码,名称,数据类型(MYSQL),主键,备注
sp_no,审批单号,varchar(128),主键, 
sp_name,审批申请类型名称（审批模板名称）,varchar(128), , 
sp_status,申请单状态：1-审批中；2-已通过；3-已驳回；4-已撤销；6-通过后撤销；7-已删除；10-已支付,varchar(128), , 
template_id,审批模板id。,varchar(128), , 
apply_time,审批申请提交时间,datetime, , 
applyer_userid,申请人userid,varchar(255), , 
applyer_username,申请人姓名,varchar(255), , 
applyer_partyid,申请人所在部门id,varchar(128), , 
applyer_partyname,申请人部门,varchar(128), , 
sp_record_data,审批节点数据,text, , 
notifyer_usernames,抄送人姓名逗号拼接,text, , 
apply_data,审批数据,text, , 
create_by,,varchar(255), , 
create_time,,datetime, , 
update_by,,varchar(255), , 
update_time,,datetime, , 
del_flag,删除标志 是否被删除 1是0否,tinyint(1), , 
tenant_id,,varchar(64), , 
,,,

cp_config

,,,
代码,名称,数据类型(MYSQL),主键,备注
id,,int(11),主键, 
corpId,,varchar(64), , 
secret,,varchar(64), , 
token,,varchar(255), , 
aesKey,,text, , 
agentId,,varchar(255), , 
rmark,,varchar(255), , 
tenant_id,,varchar(64), , 
,,,

intercept_rule
敏感词拦截
,,,
代码,名称,数据类型(MYSQL),主键,备注
rule_id,规则id,varchar(255),主键, 
rule_name,规则名称，长度上限20个字符,varchar(255), , 
word_list,敏感词列表，敏感词不能超过30个字符，列表大小不能超过300个,text, , 
semantics_list,额外的拦截语义规则，1：手机号、2：邮箱地:、3：红包,varchar(18), , 
intercept_type,拦截方式，1:警告并拦截发送；2:仅发警告,tinyint(1), , 
user_id_list,可使用的userid列表,text, , 
user_name_list,可使用的username列表,text, , 
department_id_list,可使用的部门id列表，,text, , 
department_name_list,可使用的部门名称列表,text, , 
create_by,,varchar(255), , 
create_time,,datetime, , 
update_by,,varchar(255), , 
update_time,,datetime, , 
del_flag,,tinyint(1), , 
tenant_id,,varchar(64), , 
,,,

journal_data
日报数据
,,,
代码,名称,数据类型(MYSQL),主键,备注
journal_uuid,,varchar(255),主键, 
template_name,汇报表单名称,varchar(255), , 
submitter_userid,汇报用户id,varchar(255), , 
submitter_name,汇报用户名称,varchar(255), , 
receivers_userid,接收用户id,varchar(255), , 
receivers_name,接收用户名称,varchar(255), , 
contents,汇报内容,varchar(255), , 
report_time,汇报时间,datetime, , 
create_by,,varchar(255), , 
create_time,,datetime, , 
update_by,,varchar(255), , 
update_time,,datetime, , 
del_flag,,tinyint(1), , 
tenant_id,,varchar(64), , 
,,,

journal_record

,,,
代码,名称,数据类型(MYSQL),主键,备注
id,,varchar(64), , 
template_id,	汇报表单id,varchar(255), , 
template_name,汇报表单名称,varchar(255), , 
user_name,汇报人姓名,varchar(255), , 
user_depart,汇报人单位,varchar(255), , 
flag,是否迟交，1迟交;0非迟交,tinyint(1), , 
report_status,汇报状态 1已汇报 -1未汇报,int(11), , 
create_by,,varchar(255), , 
create_time,,datetime, , 
update_by,,varchar(255), , 
update_time,,datetime, , 
del_flag,删除标志 是否被删除 1是0否,tinyint(1), , 
tenant_id,,varchar(64), , 
report_time,汇报时间,datetime, , 
,,,

message_data

,,,
代码,名称,数据类型(MYSQL),主键,备注
id,,varchar(64),主键, 
touser,指定接收消息的成员，成员ID列表（多个接收者 |  分隔),text, , 
touser_name,,text, , 
toparty,指定接收消息的部门，部门ID列表 (（多个接收者 |  分隔),text, , 
toparty_name,,text, , 
msgtype,消息类型 文本 ：text 图片：image 文件：file 图文：news ,varchar(64), , 
agentid,企业应用的id,varchar(64), , 
status,状态 0 待推送 1已推送 -1已撤回,int(11), , 
data,数据,text, , 
push_time,发布时间,datetime, , 
create_by,,varchar(255), , 
create_time,,datetime, , 
update_by,,varchar(255), , 
update_time,,datetime, , 
del_flag,删除标志 是否被删除 1是0否,tinyint(1), , 
tenant_id,,varchar(64), , 
msgid,推送消息的通知,varchar(255), , 
,,,

msg_save

,,,
代码,名称,数据类型(MYSQL),主键,备注
id,,varchar(128),主键, 
action,消息动作，目前有send(发送消息)recall(撤回消息)switch(切换企业日志)三种类型,varchar(64), , 
from_id,发送人id,varchar(64), , 
from_anme,发送人名称,varchar(64), , 
roomid,群聊消息的群id。如果是单聊则为空,varchar(255), , 
tolist_names,接收人姓名列表（逗号拼接),longtext, , 
tolist_ids,接收人id列表（逗号拼接),longtext, , 
msgtime,消息发送时间,datetime, , 
msgtype,消息类型,text, , 
seq,消息指针,bigint(20), , 
data,消息数据对象（文本存储消息文本，多媒体对象为json）,text, , 
create_by,,varchar(255), , 
create_time,,datetime, , 
update_by,,varchar(255), , 
update_time,,datetime, , 
del_flag,删除标志 是否被删除 1是0否,tinyint(1), , 
tenant_id,,varchar(64), , 
,,,

undo_log

,,,
代码,名称,数据类型(MYSQL),主键,备注
id,,bigint(20),主键, 
branch_id,,bigint(20), , 
xid,,varchar(100), , 
context,,varchar(128), , 
rollback_info,,longblob, , 
log_status,,int(11), , 
log_created,,datetime, , 
log_modified,,datetime, , 
ext,,varchar(100), , 
tenant_id,,varchar(64), , 
,,,

user_data

,,,
代码,名称,数据类型(MYSQL),主键,备注
id,,varchar(64),主键, 
name,姓名,varchar(255), , 
email,邮箱,varchar(255), , 
position,岗位,varchar(64), , 
depart_name,部门名称,varchar(64), , 
mobile,电话号码,varchar(16), , 
tenant_id,租户id,varchar(64), , 
,,,

